#{"t_start": 1539877003.7796586, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,129,4.875752
1.0,155,5.275307
1.0,173,5.197306
1.0,173,4.683894
2.0,198,6.657593
4.0,269,7.096365
0.0,129,7.416204
0.0,127,9.345693
1.0,157,8.601579
2.0,226,9.760696
2.0,206,9.566115
0.0,127,11.626549
1.0,175,10.631223
0.0,129,12.061845
3.0,214,11.70714
3.0,233,13.426596
2.0,204,13.7184
2.0,204,15.811875
2.0,201,14.787619
1.0,176,15.601162
1.0,176,15.245053
0.0,129,17.454783
3.0,230,18.281354
1.0,174,19.333259
3.0,270,19.373088
1.0,171,18.741667
3.0,253,21.059426
0.0,127,22.049627
1.0,175,21.069313
0.0,125,21.721925
0.0,125,21.46946
2.0,221,22.780752
0.0,127,24.39678
